method,dataset,task,kind,raw_passed,protocol_passed,verdict,dataset_controls_ok,mean_auc,frac_auc_passed,frac_loc_passed,frac_faith_passed,mean_loc_enrichment,mean_delta_lerf_morf,native_verdict,loc_verdict,faith_verdict,combo,explainer
mil_mixing_random,bc_jackson2020,motif_tumor_high,control,False,False,fail_control,False,0.9400192306934264,0.8666666666666667,0.0,0.0,0.9971924192698126,-0.00041026770917,fail_control,fail_control,fail_control,mixing,random
mil_mixing_random,bc_metabric_ali2020,motif_interface_immune,spatial,False,False,fail_control_block,False,0.6152279664031474,0.4666666666666667,0.0,0.0,0.9770843084070808,-0.0082582147581105,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,mixing,random
mil_mixing_random,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,False,False,fail_control_block,False,0.7058145941742333,1.0,0.0,0.0,1.027488796604623,0.0004567529002797,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,mixing,random
mil_mixing_random,hnc_wu2022,motif_cd8_clustering,spatial,False,False,fail_control_block,False,0.8449522215117599,1.0,0.0,0.0,0.9701513572630128,-0.0100590815182495,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,mixing,random
mil_mixing_random,hnc_wu2022,motif_immune_exclusion,spatial,False,False,fail_control_block,False,0.9189913140030992,1.0,0.0,0.0,0.9866286098333364,-0.0096205466014992,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,mixing,random
mil_mixing_random,tnbc_wang2023,motif_cd8_high,control,False,False,fail_control,False,0.9720046976431156,1.0,0.0,0.0,1.0119126068153197,0.0019783177848049,fail_control,fail_control,fail_control,mixing,random
mil_mixing_single,bc_jackson2020,motif_apc_t_contact,spatial,False,False,fail_spatial,True,0.6535642703576606,0.7333333333333333,0.0,0.7333333333333333,1.1946309568185909,0.7356421298039731,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,mixing,single
mil_mixing_single,bc_jackson2020,motif_cd8_tumor_contact,spatial,False,False,fail_spatial,True,0.6545126294335097,0.9333333333333332,0.1333333333333333,0.9333333333333332,1.192335990966239,0.6801962334948671,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,mixing,single
mil_mixing_single,bc_jackson2020,motif_macrophage_tumor_niche,spatial,False,False,fail_spatial,True,0.5882662661405493,0.4,0.4,0.4,1.8719096406884737,0.7650706472631544,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,mixing,single
mil_mixing_single,bc_jackson2020,motif_t_tumor_mixing,spatial,False,False,fail_spatial,True,0.6629355405761213,0.8,0.0666666666666666,0.8,1.193683834128808,0.6864641732341951,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,mixing,single
mil_mixing_single,bc_jackson2020,motif_tumor_high,control,True,True,pass_control,True,0.9400192306934264,0.8666666666666667,0.8666666666666667,0.8666666666666667,2.362575129470071,0.5465127363609145,pass_control,pass_control,pass_control,mixing,single
mil_mixing_single,bc_metabric_ali2020,motif_interface_immune,spatial,False,False,fail_control_block,False,0.6152279664031474,0.4666666666666667,0.4,0.4666666666666667,1.5331960237079585,0.7102364711187038,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,mixing,single
mil_mixing_single,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,False,False,fail_control_block,False,0.7058145941742333,1.0,0.0,1.0,0.9574918896265036,0.6832428421953861,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,mixing,single
mil_mixing_single,hnc_wu2022,motif_cd8_clustering,spatial,True,True,pass_spatial,True,0.8449522215117599,1.0,1.0,1.0,3.5293548833477075,0.7001106865494994,pass_spatial,pass_spatial,pass_spatial,mixing,single
mil_mixing_single,hnc_wu2022,motif_immune_exclusion,spatial,True,True,pass_spatial,True,0.9189913140030992,1.0,1.0,1.0,2.7051767178197306,0.7164417852240538,pass_spatial,pass_spatial,pass_spatial,mixing,single
mil_mixing_single,tnbc_wang2023,motif_cd8_high,control,True,True,pass_control,True,0.9720046976431156,1.0,1.0,1.0,2.0963726597953065,0.4285684792288128,pass_control,pass_control,pass_control,mixing,single
mil_celltype_density_attention,bc_jackson2020,motif_apc_t_contact,spatial,False,False,fail_spatial,True,0.630607858583381,0.5333333333333333,0.0,0.5333333333333333,0.4303425328119041,0.1638777799959648,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,celltype_density,attention
mil_celltype_density_attention,bc_jackson2020,motif_cd8_tumor_contact,spatial,False,False,fail_spatial,True,0.823070424942973,1.0,0.2,0.0,1.260891486862584,-0.2139219190035068,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,celltype_density,attention
mil_celltype_density_attention,bc_jackson2020,motif_macrophage_tumor_niche,spatial,False,False,fail_spatial,True,0.6001019885385936,0.3333333333333333,0.0666666666666666,0.0,1.17578610181971,-0.1312734545123011,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,celltype_density,attention
mil_celltype_density_attention,bc_jackson2020,motif_t_tumor_mixing,spatial,False,False,fail_spatial,True,0.821215267166264,1.0,0.1333333333333333,0.0,1.263100693797242,-0.2217328595342355,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,celltype_density,attention
mil_celltype_density_attention,bc_jackson2020,motif_tumor_high,control,True,True,pass_control,True,0.9778972614030472,1.0,0.9333333333333332,1.0,1.5961217744899965,0.210479956092672,pass_control,pass_control,pass_control,celltype_density,attention
mil_celltype_density_attention,bc_metabric_ali2020,motif_interface_immune,spatial,False,False,fail_control_block,False,0.5938671644284367,0.5333333333333333,0.0,0.1333333333333333,1.1789352906537538,0.0060027431621008,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,celltype_density,attention
mil_celltype_density_attention,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,False,False,fail_control_block,False,0.7466045303672479,1.0,0.1333333333333333,0.0,1.3565303378691906,-0.217618070117094,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,celltype_density,attention
